no. nodes_block,stale block rate (simblock),mean propagation time,mean propagation time 50%,median propagation time,number of orphan (mine),total block propagation time,average block interval,blocktime std dev,difficulty std dev,Simulation type,,,,,,,,
6026504,669,21531.2749,6810.5701,17033,1664,2.15E+08,83.7351075,,,,,,,,,,,
938256,104,18696.345,6390.7713,17028.5,275,1.87E+08,439.2462836,,,(no ga_no hash rate change),,,,,,,,
3245413,360,19775.3941,6581.0739,16879.5,877,1.98E+08,95.6152419,,,(ga_no hash rate change),,,,,,,,
6599825,733,22208.6163,6855.4513,17292,1871,2.22E+08,62.2909129,,,(no ga_no hash rate change_interval = 81000),,,,,,,,
942894,104,18555.2749,6388.4647,16744,264,1.86E+08,447.593793,,,(no ga_with hash rate change),,,,,,,,
826061,91,18510.1371,6384.5977,16923,246,1.85E+08,460.1298313,,,(no ga_with hash rate change),,,,,,,,
905108,100,18572.9746,6402.875,17045,252,1.86E+08,457.633577,,,(no ga_with hash rate change),,,,,,,,
955455,106,18779.7334,6413.3409,16797.5,267,1.88E+08,437.982482,,,(no ga_with hash rate change),,,,,,,,
932742,103,18689.0668,6394.3099,16997.5,272,1.87E+08,437.1224157,557,3.42E+15,,,,,,,,,
1135017,126,18814.3223,6428.3965,17094.5,301,1.88E+08,396.6385014,457,2.44E+15,,,,,,,,,
1019000,113,19069.7776,6382.7352,17255,297,1.91E+08,400.9205352,473,2.35E+15,(no ga_with hash rate change),,,,,,,,
1067006,118,18983.0783,6408.4731,17101,289,1.90E+08,447.0055542,574,3.00E+15,,,,,,,,,
925460,102,18900.116,6412.6652,17009,267,1.89E+08,392.1942336,456,2.57E+15,,,,,,,,,
897237,99,18851.6133,6396.6952,17228,265,1.89E+08,400.9099968,460,2.33E+15,,,,,,,,,
969225,107,18884.0934,6395.2998,17241,273,1.89E+08,449.1973749,583,2.96E+15,,,,,,,,,
1022605,113,18811.8091,6385.5503,17068,274,1.88E+08,396.2623505,458,2.40E+15,,,,,,,,,
1114137,123,18557.6542,6405.9413,16886.5,278,1.86E+08,441.0964311,555,3.45E+15,,,,,,,,,
